cid,mw,polararea,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,binary_fingerprints
119,103.12,63.3,-3.2,7,2,3,3,[0. 0. 0. ... 0. 0. 1.]
137,131.13,80.4,-3.8,9,2,4,4,[0. 0. 0. ... 0. 0. 1.]
175,59.04,40.1,0.4,4,0,2,0,[0. 0. 0. ... 0. 0. 0.]
187,146.21,26.3,0.2,10,0,2,4,[0. 0. 0. ... 0. 0. 1.]
206,180.16,110.0,-2.6,12,5,6,1,[1. 0. 0. ... 0. 0. 0.]
222,17.031,1.0,-0.7,1,1,1,0,[0. 0. 0. ... 0. 0. 0.]
244,108.14,20.2,1.1,8,1,1,1,[0. 0. 0. ... 0. 0. 0.]
247,117.15,40.1,0.5,8,0,2,1,[0. 0. 0. ... 0. 0. 1.]
271,40.08,0.0,0.0,1,0,0,0,[0. 0. 0. ... 0. 0. 0.]
297,16.043,0.0,0.6,1,0,0,0,[0. 0. 0. ... 0. 0. 0.]
311,192.12,132.0,-1.7,13,4,7,5,[0. 0. 0. ... 0. 0. 0.]
312,35.45,0.0,0.8,1,0,1,0,[0. 0. 0. ... 0. 0. 0.]
338,138.12,57.5,2.3,10,2,3,1,[0. 0. 0. ... 0. 0. 0.]
444,239.74,29.1,3.2,16,1,2,4,[0. 1. 0. ... 1. 0. 1.]
564,131.17,63.3,-3.0,9,2,3,5,[0. 0. 0. ... 0. 0. 1.]
598,142.2,63.8,-0.6,7,2,4,2,[0. 0. 0. ... 0. 0. 0.]
612,90.08,57.5,-0.7,6,2,3,1,[0. 0. 0. ... 0. 0. 0.]
679,78.14,36.3,-0.6,4,0,2,0,[0. 0. 0. ... 0. 0. 0.]
681,153.18,66.5,-1.0,11,3,3,2,[0. 0. 0. ... 0. 0. 1.]
700,61.08,46.2,-1.3,4,2,2,1,[0. 0. 0. ... 0. 0. 1.]
727,290.8,0.0,3.8,12,0,0,0,[0. 0. 0. ... 0. 0. 0.]
750,75.07,63.3,-3.2,5,2,3,1,[0. 0. 0. ... 0. 0. 1.]
753,92.09,60.7,-1.8,6,3,3,2,[0. 0. 0. ... 0. 0. 0.]
767,62.025,57.5,-0.1,4,2,3,0,[0. 0. 0. ... 0. 0. 0.]
772,1134.9,652.0,-10.8,70,15,38,21,[1. 0. 1. ... 0. 1. 1.]
774,111.15,54.7,-0.7,8,2,2,2,[1. 0. 0. ... 1. 0. 1.]
785,110.11,40.5,0.6,8,2,2,0,[0. 0. 0. ... 0. 0. 0.]
813,39.098,0.0,0.0,1,0,0,0,[0. 0. 0. ... 0. 0. 0.]
888,24.305,0.0,0.0,1,0,0,0,[0. 0. 0. ... 0. 0. 0.]
896,232.28,54.1,0.8,17,2,2,4,[1. 0. 0. ... 0. 0. 1.]
923,22.989,0.0,0.0,1,0,0,0,[0. 0. 0. ... 0. 0. 0.]
937,122.1,53.0,0.9,9,0,3,0,[1. 0. 0. ... 0. 0. 0.]
942,162.23,16.1,1.2,12,0,2,1,[1. 0. 0. ... 0. 0. 1.]
946,46.006,52.5,-0.8,3,0,3,0,[0. 0. 0. ... 0. 0. 0.]
948,44.013,19.1,0.5,3,0,2,0,[0. 0. 0. ... 0. 0. 0.]
961,17.007,1.0,-0.6,1,1,1,0,[0. 0. 0. ... 0. 0. 0.]
1003,96.987,80.6,-2.2,5,2,4,0,[0. 0. 0. ... 0. 0. 0.]
1046,123.11,68.9,-0.6,9,1,3,1,[1. 0. 0. ... 0. 0. 1.]
1054,169.18,73.6,-0.8,12,3,4,2,[1. 1. 0. ... 0. 0. 0.]
1084,112.13,104.0,0.2,5,0,4,0,[0. 0. 0. ... 0. 0. 0.]
1130,265.36,104.0,1.0,18,2,5,4,[1. 1. 1. ... 0. 1. 0.]
1727,94.11,38.9,0.3,7,1,2,0,[1. 0. 0. ... 0. 0. 0.]
1775,252.27,58.2,2.5,19,2,2,2,[0. 0. 1. ... 0. 1. 1.]
1978,336.4,87.7,1.7,24,3,5,10,[0. 0. 0. ... 0. 0. 1.]
1983,151.16,49.3,0.5,11,2,2,1,[0. 0. 0. ... 0. 0. 1.]
1986,222.3,152.0,-0.3,13,2,7,2,[1. 1. 1. ... 0. 0. 1.]
1990,75.07,49.3,-1.6,5,2,2,0,[0. 0. 0. ... 0. 0. 1.]
1993,160.23,26.3,0.6,11,0,2,4,[0. 0. 0. ... 0. 0. 1.]
2019,1255.4,356.0,3.8,90,5,18,8,[1. 1. 1. ... 1. 1. 1.]
2082,265.33,92.3,2.9,18,2,4,5,[1. 0. 0. ... 0. 0. 1.]
2083,239.31,72.7,0.3,17,4,4,5,[0. 0. 0. ... 1. 0. 1.]
2088,249.1,161.0,-6.5,14,6,8,5,[0. 0. 1. ... 0. 0. 1.]
2092,389.4,112.0,1.7,28,2,8,8,[1. 0. 1. ... 0. 1. 1.]
2099,294.35,53.9,1.6,22,1,2,2,[1. 1. 0. ... 0. 0. 1.]
2118,308.8,43.1,2.1,22,0,3,1,[1. 0. 1. ... 1. 1. 1.]
